timestamp_utc,send_currency,receive_currency,exchange_rate,interbank_rate
2026-09-03 08:27:41 UTC,CAD,ARS,1152.6794,1093.04
2026-09-03 17:54:29 UTC,EUR,ARS,1845.354,1754.93
2026-09-03 17:54:29 UTC,USD,ARS,1590.0,1508.0
2026-09-03 17:54:29 UTC,GBP,ARS,2146.341,2042.72
2026-09-03 17:54:29 UTC,CAD,ARS,1154.5164,1094.41
2026-09-03 18:46:31 UTC,EUR,ARS,1845.354,1754.62
2026-09-03 18:46:31 UTC,USD,ARS,1590.0,1508.25
2026-09-03 18:46:31 UTC,GBP,ARS,2146.341,2041.98
2026-09-03 18:46:31 UTC,CAD,ARS,1154.5164,1093.92
2026-09-03 21:02:39 UTC,EUR,ARS,1845.354,1754.47
2026-09-03 21:02:39 UTC,USD,ARS,1590.0,1508.25
2026-09-03 21:02:39 UTC,GBP,ARS,2146.341,2041.97
2026-09-03 21:02:39 UTC,CAD,ARS,1154.5164,1093.66
2026-09-03 23:15:26 UTC,EUR,ARS,1845.354,1753.39
2026-09-03 23:15:26 UTC,USD,ARS,1590.0,1508.25
2026-09-03 23:15:26 UTC,GBP,ARS,2146.341,2039.71
2026-09-03 23:15:26 UTC,CAD,ARS,1152.341,1093.44
2026-09-04 01:04:59 UTC,EUR,ARS,1845.354,1753.87
2026-09-04 01:04:59 UTC,USD,ARS,1590.0,1508.25
2026-09-04 01:04:59 UTC,GBP,ARS,2146.341,2040.84
2026-09-04 01:04:59 UTC,CAD,ARS,1152.341,1093.74
2026-09-04 05:51:19 UTC,EUR,ARS,1845.354,1753.74
2026-09-04 05:51:19 UTC,USD,ARS,1590.0,1508.25
2026-09-04 05:51:19 UTC,GBP,ARS,2146.341,2040.94
2026-09-04 05:51:19 UTC,CAD,ARS,1152.341,1093.7
2026-09-04 10:18:27 UTC,EUR,ARS,1847.103,1753.74
2026-09-04 10:18:27 UTC,USD,ARS,1590.0,1508.25
2026-09-04 10:18:27 UTC,GBP,ARS,2150.157,2040.94
2026-09-04 10:18:27 UTC,CAD,ARS,1151.8401,1093.7
2026-09-04 14:26:50 UTC,EUR,ARS,1847.103,1750.09
2026-09-04 14:26:50 UTC,USD,ARS,1590.0,1506.5
2026-09-04 14:26:50 UTC,GBP,ARS,2150.157,2035.71
2026-09-04 14:26:50 UTC,CAD,ARS,1151.8401,1087.45
2026-09-04 17:44:57 UTC,EUR,ARS,1839.8424,1749.47
2026-09-04 17:44:57 UTC,USD,ARS,1583.75,1506.5
2026-09-04 17:44:57 UTC,GBP,ARS,2141.7051,2035.79
2026-09-04 17:44:57 UTC,CAD,ARS,1144.4108,1088.86
2026-09-04 19:55:52 UTC,EUR,ARS,1839.8424,1751.97
2026-09-04 19:55:52 UTC,USD,ARS,1583.75,1508.5
2026-09-04 19:55:52 UTC,GBP,ARS,2141.7051,2039.44
2026-09-04 19:55:52 UTC,CAD,ARS,1144.4108,1090.68
2026-09-04 22:15:55 UTC,EUR,ARS,1839.2349,1751.97
2026-09-04 22:15:55 UTC,USD,ARS,1583.75,1508.5
2026-09-04 22:15:55 UTC,GBP,ARS,2140.4023,2039.44
2026-09-04 22:15:55 UTC,CAD,ARS,1143.8322,1090.68
2026-09-05 00:12:54 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 00:12:54 UTC,USD,ARS,1583.75,1508.5
2026-09-05 00:12:54 UTC,GBP,ARS,2140.4023,2039.44
2026-09-05 00:12:54 UTC,CAD,ARS,1143.8322,1090.68
2026-09-05 04:36:13 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 04:36:13 UTC,USD,ARS,1583.75,1508.5
2026-09-05 04:36:13 UTC,GBP,ARS,2140.4023,2039.44
2026-09-05 04:36:13 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 08:36:03 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 08:36:03 UTC,USD,ARS,1583.75,1508.5
2026-09-05 08:36:03 UTC,GBP,ARS,2140.4023,2039.44
2026-09-05 08:36:03 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 12:04:53 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 12:04:53 UTC,USD,ARS,1583.75,1508.5
2026-09-05 12:04:53 UTC,GBP,ARS,2140.4023,2039.44
2026-09-05 12:04:53 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 15:10:29 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 15:10:29 UTC,USD,ARS,1583.75,1508.5
2026-09-05 15:10:29 UTC,GBP,ARS,2140.4023,2039.44
2026-09-05 15:10:29 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 17:22:25 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 17:22:25 UTC,USD,ARS,1583.75,1508.5
2026-09-05 17:22:25 UTC,GBP,ARS,2140.4023,2039.43
2026-09-05 17:22:25 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 19:14:10 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 19:14:10 UTC,USD,ARS,1583.75,1508.5
2026-09-05 19:14:10 UTC,GBP,ARS,2140.4023,2039.43
2026-09-05 19:14:10 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 21:21:13 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 21:21:13 UTC,USD,ARS,1583.75,1508.5
2026-09-05 21:21:13 UTC,GBP,ARS,2140.4023,2039.43
2026-09-05 21:21:13 UTC,CAD,ARS,1143.8322,1090.15
2026-09-05 23:04:58 UTC,EUR,ARS,1839.2349,1751.97
2026-09-05 23:04:58 UTC,USD,ARS,1583.75,1508.5
2026-09-05 23:04:58 UTC,GBP,ARS,2140.4023,2039.43
2026-09-05 23:04:58 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 00:54:14 UTC,EUR,ARS,1839.2349,1751.97
2026-09-06 00:54:14 UTC,USD,ARS,1583.75,1508.5
2026-09-06 00:54:14 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 00:54:14 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 05:34:23 UTC,EUR,ARS,1839.2349,1751.97
2026-09-06 05:34:23 UTC,USD,ARS,1583.75,1508.5
2026-09-06 05:34:23 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 05:34:23 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 09:40:02 UTC,EUR,ARS,1839.2349,1751.97
2026-09-06 09:40:02 UTC,USD,ARS,1583.75,1508.5
2026-09-06 09:40:02 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 09:40:02 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 13:10:56 UTC,EUR,ARS,1839.2349,1751.97
2026-09-06 13:10:56 UTC,USD,ARS,1583.75,1508.5
2026-09-06 13:10:56 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 13:10:56 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 16:19:33 UTC,EUR,ARS,1839.2349,1751.97
2026-09-06 16:19:33 UTC,USD,ARS,1583.75,1508.5
2026-09-06 16:19:33 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 16:19:33 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 18:26:54 UTC,EUR,ARS,N/A,1751.97
2026-09-06 18:26:54 UTC,USD,ARS,1583.75,1508.5
2026-09-06 18:26:54 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 18:26:54 UTC,CAD,ARS,1143.8322,1090.15
2026-09-06 20:44:37 UTC,EUR,ARS,1839.2349,1751.97
2026-09-06 20:44:37 UTC,USD,ARS,1583.75,1508.5
2026-09-06 20:44:37 UTC,GBP,ARS,2140.4023,2039.43
2026-09-06 20:44:37 UTC,CAD,ARS,1143.8322,1090.23
2026-09-06 22:26:32 UTC,EUR,ARS,1839.2349,1751.22
2026-09-06 22:26:32 UTC,USD,ARS,1583.75,1508.5
2026-09-06 22:26:32 UTC,GBP,ARS,2140.4023,2039.15
2026-09-06 22:26:32 UTC,CAD,ARS,1143.8322,1090.55
2026-09-07 00:15:43 UTC,EUR,ARS,1839.2349,1752.16
2026-09-07 00:15:43 UTC,USD,ARS,1583.75,1508.5
2026-09-07 00:15:43 UTC,GBP,ARS,2140.4023,2039.28
2026-09-07 00:15:43 UTC,CAD,ARS,1143.8322,1090.48
2026-09-07 04:55:44 UTC,EUR,ARS,1839.2349,1751.24
2026-09-07 04:55:44 UTC,USD,ARS,1583.75,1508.5
2026-09-07 04:55:44 UTC,GBP,ARS,2140.4023,2037.5
2026-09-07 04:55:44 UTC,CAD,ARS,1143.8322,1089.92
2026-09-07 10:02:24 UTC,EUR,ARS,1839.8424,1751.24
2026-09-07 10:02:24 UTC,USD,ARS,1583.75,1508.5
2026-09-07 10:02:24 UTC,GBP,ARS,2142.0219,2037.5
2026-09-07 10:02:24 UTC,CAD,ARS,1143.8322,1089.92
2026-09-07 15:48:18 UTC,EUR,ARS,1840.3175,1755.9
2026-09-07 15:48:18 UTC,USD,ARS,1583.75,1510.0
2026-09-07 15:48:18 UTC,GBP,ARS,2143.6056,2044.8
2026-09-07 15:48:18 UTC,CAD,ARS,1145.5696,1093.31
2026-09-07 19:27:05 UTC,EUR,ARS,1840.3175,1756.17
2026-09-07 19:27:05 UTC,USD,ARS,1583.75,1511.0
2026-09-07 19:27:05 UTC,GBP,ARS,2143.6056,2045.91
2026-09-07 19:27:05 UTC,CAD,ARS,1146.7308,1093.62
2026-09-07 22:14:58 UTC,EUR,ARS,1840.3175,1756.32
2026-09-07 22:14:58 UTC,USD,ARS,1583.75,1511.0
2026-09-07 22:14:58 UTC,GBP,ARS,2143.6056,2046.18
2026-09-07 22:14:58 UTC,CAD,ARS,1145.7354,1093.46
2026-09-08 00:31:09 UTC,EUR,ARS,1840.3175,1756.32
2026-09-08 00:31:09 UTC,USD,ARS,1583.75,1511.0
2026-09-08 00:31:09 UTC,GBP,ARS,2143.6056,2046.18
2026-09-08 00:31:09 UTC,CAD,ARS,1145.7354,1093.46
2026-09-08 05:09:59 UTC,EUR,ARS,1840.3175,1757.91
2026-09-08 05:09:59 UTC,USD,ARS,1583.75,1511.0
2026-09-08 05:09:59 UTC,GBP,ARS,2143.6056,2047.2
2026-09-08 05:09:59 UTC,CAD,ARS,1145.7354,1094.92
2026-09-08 09:43:30 UTC,EUR,ARS,1839.5256,1757.91
2026-09-08 09:43:30 UTC,USD,ARS,1583.75,1511.0
2026-09-08 09:43:30 UTC,GBP,ARS,2143.4472,2047.2
2026-09-08 09:43:30 UTC,CAD,ARS,1145.7354,1094.92
2026-09-08 13:55:18 UTC,EUR,ARS,1839.0505,1750.2
2026-09-08 13:55:18 UTC,USD,ARS,1583.75,1506.0
2026-09-08 13:55:18 UTC,GBP,ARS,2142.3386,2040.54
2026-09-08 13:55:18 UTC,CAD,ARS,1147.3124,1092.4
2026-09-08 17:50:42 UTC,EUR,ARS,1839.0505,1756.6
2026-09-08 17:50:42 UTC,USD,ARS,1583.75,1511.0
2026-09-08 17:50:42 UTC,GBP,ARS,2142.3386,2045.58
2026-09-08 17:50:42 UTC,CAD,ARS,1148.6438,1096.0
2026-09-08 20:30:35 UTC,EUR,ARS,1839.0505,1756.83
2026-09-08 20:30:35 UTC,USD,ARS,1583.75,1511.5
2026-09-08 20:30:35 UTC,GBP,ARS,2142.3386,2046.66
2026-09-08 20:30:35 UTC,CAD,ARS,1148.6438,1096.61
2026-09-08 22:57:20 UTC,EUR,ARS,1839.0505,1757.4
2026-09-08 22:57:20 UTC,USD,ARS,1583.75,1511.5
2026-09-08 22:57:20 UTC,GBP,ARS,2142.3386,2046.81
2026-09-08 22:57:20 UTC,CAD,ARS,1148.3107,1096.64
2026-09-09 01:11:54 UTC,EUR,ARS,1839.0505,1757.89
2026-09-09 01:11:54 UTC,USD,ARS,1583.75,1511.5
2026-09-09 01:11:54 UTC,GBP,ARS,2142.3386,2047.25
2026-09-09 01:11:54 UTC,CAD,ARS,1148.3107,1096.98
2026-09-09 06:02:19 UTC,EUR,ARS,1839.0505,1758.33
2026-09-09 06:02:19 UTC,USD,ARS,1583.75,1511.5
2026-09-09 06:02:19 UTC,GBP,ARS,2142.3386,2047.89
2026-09-09 06:02:19 UTC,CAD,ARS,1148.3107,1097.42
2026-09-09 11:15:40 UTC,EUR,ARS,1840.7926,1758.33
2026-09-09 11:15:40 UTC,USD,ARS,1583.75,1511.5
2026-09-09 11:15:40 UTC,GBP,ARS,2142.9721,2047.89
2026-09-09 11:15:40 UTC,CAD,ARS,1148.977,1097.42
2026-09-09 15:11:12 UTC,EUR,ARS,1840.7926,1760.5
2026-09-09 15:11:12 UTC,USD,ARS,1583.75,1514.0
2026-09-09 15:11:12 UTC,GBP,ARS,2142.9721,2050.81
2026-09-09 15:11:12 UTC,CAD,ARS,1148.977,1096.54
